HebCal Title,HebCal Category,Date,Location,Israel Mode,Matched Tag,Match Type,Hebrew Year
Rosh Hashana 5819,holiday,2058-09-19,Salford,false,rosh_hashana,group,5819
Rosh Hashana 5820,holiday,2059-09-08,Jerusalem,true,rosh_hashana,group,5820
Rosh Hashana 5820,holiday,2059-09-08,Salford,false,rosh_hashana,group,5820
Rosh Hashana 5821,holiday,2060-09-25,Jerusalem,true,rosh_hashana,group,5821
Rosh Hashana 5821,holiday,2060-09-25,Salford,false,rosh_hashana,group,5821
Rosh Hashana 5822,holiday,2061-09-15,Jerusalem,true,rosh_hashana,group,5822
Rosh Hashana 5822,holiday,2061-09-15,Salford,false,rosh_hashana,group,5822
Rosh Hashana 5823,holiday,2062-10-05,Jerusalem,true,rosh_hashana,group,5823
Rosh Hashana 5823,holiday,2062-10-05,Salford,false,rosh_hashana,group,5823
Rosh Hashana 5824,holiday,2063-09-24,Jerusalem,true,rosh_hashana,group,5824
Rosh Hashana 5824,holiday,2063-09-24,Salford,false,rosh_hashana,group,5824
Rosh Hashana 5825,holiday,2064-09-11,Jerusalem,true,rosh_hashana,group,5825
Rosh Hashana 5825,holiday,2064-09-11,Salford,false,rosh_hashana,group,5825
Rosh Hashana 5826,holiday,2065-10-01,Jerusalem,true,rosh_hashana,group,5826
Rosh Hashana 5826,holiday,2065-10-01,Salford,false,rosh_hashana,group,5826
Rosh Hashana 5827,holiday,2066-09-20,Jerusalem,true,rosh_hashana,group,5827
Rosh Hashana 5827,holiday,2066-09-20,Salford,false,rosh_hashana,group,5827
Rosh Hashana 5828,holiday,2067-09-10,Jerusalem,true,rosh_hashana,group,5828
Rosh Hashana 5828,holiday,2067-09-10,Salford,false,rosh_hashana,group,5828
Rosh Hashana 5829,holiday,2068-09-27,Jerusalem,true,rosh_hashana,group,5829
Rosh Hashana 5829,holiday,2068-09-27,Salford,false,rosh_hashana,group,5829
Rosh Hashana 5830,holiday,2069-09-16,Jerusalem,true,rosh_hashana,group,5830
Rosh Hashana 5830,holiday,2069-09-16,Salford,false,rosh_hashana,group,5830
Rosh Hashana 5831,holiday,2070-09-06,Jerusalem,true,rosh_hashana,group,5831
Rosh Hashana 5831,holiday,2070-09-06,Salford,false,rosh_hashana,group,5831
Rosh Hashana 5832,holiday,2071-09-24,Jerusalem,true,rosh_hashana,group,5832
Rosh Hashana 5832,holiday,2071-09-24,Salford,false,rosh_hashana,group,5832
Rosh Hashana 5833,holiday,2072-09-13,Jerusalem,true,rosh_hashana,group,5833
Rosh Hashana 5833,holiday,2072-09-13,Salford,false,rosh_hashana,group,5833
Rosh Hashana 5834,holiday,2073-10-02,Jerusalem,true,rosh_hashana,group,5834
Rosh Hashana 5834,holiday,2073-10-02,Salford,false,rosh_hashana,group,5834
Rosh Hashana 5835,holiday,2074-09-22,Jerusalem,true,rosh_hashana,group,5835
Rosh Hashana 5835,holiday,2074-09-22,Salford,false,rosh_hashana,group,5835
Rosh Hashana 5836,holiday,2075-09-10,Jerusalem,true,rosh_hashana,group,5836
Rosh Hashana 5836,holiday,2075-09-10,Salford,false,rosh_hashana,group,5836
Rosh Hashana 5837,holiday,2076-09-28,Jerusalem,true,rosh_hashana,group,5837
Rosh Hashana 5837,holiday,2076-09-28,Salford,false,rosh_hashana,group,5837
Rosh Hashana 5838,holiday,2077-09-18,Jerusalem,true,rosh_hashana,group,5838
Rosh Hashana 5838,holiday,2077-09-18,Salford,false,rosh_hashana,group,5838
Rosh Hashana 5839,holiday,2078-09-08,Jerusalem,true,rosh_hashana,group,5839
Rosh Hashana 5839,holiday,2078-09-08,Salford,false,rosh_hashana,group,5839
Rosh Hashana 5840,holiday,2079-09-26,Jerusalem,true,rosh_hashana,group,5840
Rosh Hashana 5840,holiday,2079-09-26,Salford,false,rosh_hashana,group,5840
Rosh Hashana 5841,holiday,2080-09-14,Jerusalem,true,rosh_hashana,group,5841
Rosh Hashana 5841,holiday,2080-09-14,Salford,false,rosh_hashana,group,5841
Rosh Hashana 5842,holiday,2081-10-04,Jerusalem,true,rosh_hashana,group,5842
Rosh Hashana 5842,holiday,2081-10-04,Salford,false,rosh_hashana,group,5842
Rosh Hashana 5843,holiday,2082-09-24,Jerusalem,true,rosh_hashana,group,5843
Rosh Hashana 5843,holiday,2082-09-24,Salford,false,rosh_hashana,group,5843
Rosh Hashana 5844,holiday,2083-09-13,Jerusalem,true,rosh_hashana,group,5844
